,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.iQS78gQlITXB,1.042542871921422,0.1375637374453451,0.7859517966271417,0.9254137535683266,1.0662854622345028,1.157835478698411,1.2517817985277926,0.005856086902846351
t_subj.j1fpeDp6n8UR,0.9557802340965106,0.07077434425994486,0.8180357867941964,0.9051923889227231,0.9571548901946519,1.012282202674877,1.075669236721795,0.0021466175630195984
t_subj.jkMWKBfbNm89,1.075421020112237,0.09681494137426282,0.8627528580607927,1.012888579313303,1.0923086201873036,1.1497974759348555,1.2262956313174382,0.003240019650746982
t_subj.lYX7ZRvDXlCB,0.8523239254681071,0.07162188068682537,0.7038507480317505,0.8074709741091929,0.8574871923778222,0.9027857539962405,0.97824984962096,0.002110771969047037
t_subj.oVBDbrLOM3N4,1.0099718658992123,0.05895897021892551,0.8913986277381838,0.9721658464980318,1.0117991283996437,1.0506315445194965,1.1242004457784025,0.0017238796909477543
t_subj.pmFs7MfKf2zJ,0.8065597542450569,0.05980384118385623,0.6832359121974707,0.7675637634682199,0.8082978034979122,0.8469774734140165,0.9224004962448892,0.0014060079727017459
t_subj.pw7CJaa5hzve,1.0024435964861333,0.2615267445257285,0.7291806375297315,0.878214693777423,0.9784631244463055,1.056934945989917,2.248954904605287,0.02344151440046571
t_subj.qZqT39zakszM,1.23094111689439,0.09313612796347942,1.0126741992260666,1.1824339078779766,1.2486349115473612,1.2960167571180612,1.3729142058878983,0.0023286567510041657
t_subj.sIvKDF2pkNly,0.48434927017882146,0.06390156602717857,0.3547153663704666,0.44120203445971257,0.4858423507305644,0.5279176110526635,0.6095288272983017,0.0017373467467724647
t_subj.sgw1PPX1s04D,1.5935303003672943,0.07852547582548847,1.4293962754324578,1.5438641971514013,1.5930068100835855,1.6456323379243898,1.7416062491817077,0.0023686547925284617
t_subj.tatdpUSNjhmJ,1.0040022035193734,0.09560361471832576,0.8074114044229322,0.9469437560697722,1.004527607291744,1.063479026563881,1.196005979064112,0.0024873041549797457
t_subj.uxHhEDdcx96G,1.5967204043027459,0.22859831299784414,1.136058973116438,1.3678620133245416,1.6923776964754118,1.7784492010294193,1.8772847453436148,0.012278937891197014
t_subj.vaw4Oar5AzRL,0.6227145039887115,0.048702857971686574,0.5127299836374906,0.593795792990806,0.626973272005431,0.6574231503625952,0.7060144016229888,0.0014024859555379844
t_subj.ve2ZsUxKhbqf,0.507837636830995,0.07499708587517645,0.3421888068928706,0.4583518226550943,0.5133330721891087,0.5592850315912521,0.6394486527218123,0.0021533102308282244
t_subj.vjarSw5JzNXk,1.4039144076611672,0.09558099728078993,1.2304809473924814,1.3435164260568133,1.3926801234183546,1.4516790151062011,1.6227779040411865,0.002506463519364817
t_subj.wVICZPSLJ8KW,1.695380783052839,0.11220476537139404,1.482961602630662,1.6190035955787192,1.6916014876797294,1.767400722048059,1.9325797814843333,0.0034529485047987084
t_subj.xV0pSB7wY6E2,1.3906542001465938,0.09577700412091138,1.1972844606321036,1.3311101205394287,1.3901387049458613,1.4511127929183747,1.5810062038591213,0.002654573702076505
z,0.4690281627613075,0.0063741114790041185,0.45681142120946994,0.4648767520466919,0.4680113462136553,0.4735731775058087,0.4815302723593388,0.0005608116680611674
z_std,0.030053072096052746,0.022228264286082374,0.001060000509438801,0.012683912339724919,0.027291894272534815,0.0427410170428,0.08377601133095008,0.0020264882717951865
z_subj.00wnwvwLHBIk,0.46942175039922285,0.010544454041676258,0.4489183098627876,0.4637222153468313,0.46781057172957213,0.47592087395965527,0.49195923586257717,0.0005782865458660528
z_subj.0ALnIzl1ydE6,0.46899392002015416,0.010751513546794444,0.44887482178681726,0.4634605444711121,0.4673151163761491,0.47505038839525937,0.49203337710437806,0.0005867689217309392
