,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t,z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
848,3.877499038376967,3.854009258015058,3.2883517322198847,3.4119084403202233,1.04485193104874,-1.1417908996515587,-0.5108059187719,0.20110736770048676,0.6672758760723152,-0.07157520909708591,0.16740939811544875,0.31413965994326787,0.023493344428510338
849,3.788914848113405,3.8587785462214694,3.196253170389109,3.3450609135286884,0.9929385792516072,-1.1152808175263842,-0.4652011113282537,0.20236426643962813,0.6813965989814209,-0.07127641975114785,0.13518116411331182,0.28713746750126284,0.04325877669431771
850,3.7642052848113927,3.7897473174171084,3.234353035447347,3.4083168710321345,1.023364870438184,-1.107555417692008,-0.49451420139332736,0.23226709262375528,0.677154463814831,-0.0825427914205634,0.1917909350374797,0.3206955030984869,0.03387940380085391
851,3.848645575380261,3.686165470777964,3.2423580379159107,3.3674567511535063,1.0540419281501876,-1.0800707738561697,-0.5281585144636272,0.21168449200315623,0.6788292628680579,-0.09797625319287187,0.21468254591839875,0.3240841429374346,0.028047394820367
852,3.9052122560094533,3.7811317572103804,3.252343973939042,3.4312549078066725,1.0389125145361582,-1.1505886064376716,-0.4731129492123608,0.234555828349775,0.666004427557144,-0.08185128881353504,0.21821669026224338,0.29964504312851914,0.008384372431974527
853,3.9100293234980823,3.8091614776898948,3.249596523362457,3.432281354406491,1.0563809339135488,-1.1214375541749648,-0.5131193160971828,0.23277483955848144,0.6617834344277777,-0.07862011564689164,0.24790289687744543,0.37850326203585805,0.023100284659072906
854,3.8019544476416476,3.813838566971237,3.2545905048411474,3.3846382369983896,1.0203391348953579,-1.0691671304483465,-0.515287201728504,0.226932838221983,0.6710852950183686,-0.11173688513970528,0.12035499931737502,0.33454929432499253,-0.00020980913065431206
855,3.847678484845032,3.7790194395370422,3.2401068073011103,3.338271003247124,1.028626480980524,-1.122826360596083,-0.512988676908031,0.2420508437059664,0.6706137636833853,-0.08574418770716027,0.20504421338029055,0.32158988403167754,-0.003795686401029008
856,3.8380738138821524,3.7070429943267458,3.2782011776283078,3.3625713246467206,1.0376119032381004,-1.0589740163067352,-0.5046781653198122,0.23142056958529944,0.6716265923007279,-0.080148186638034,0.1953969822699281,0.29234785578970673,-0.032976782729940285
857,3.888926918207185,3.855302221471177,3.211518473580182,3.349864166388534,0.9975416720676235,-1.116495523491624,-0.4981041737103534,0.22160079727836315,0.6631785546751006,-0.03435373955909112,0.20213921866977164,0.3162957134938397,-0.05528745374446796
858,3.8069915548520057,3.751826780709099,3.266558687867324,3.4099767557906207,1.015859724352558,-1.0960998223235123,-0.49239885148277174,0.21254412755518293,0.6891730210665932,-0.06135263614346462,0.19578867467735206,0.2955349517471961,0.00999932225019404
859,3.878243878014383,3.8395021415630928,3.2532958716022984,3.3970249632654723,1.0562445464303785,-1.0886967259991402,-0.48566420331664095,0.24265229082470136,0.6666444541146238,-0.12819816111734095,0.15269929151585865,0.28353316750717766,-0.016272197760118123
860,3.775000473687015,3.9257090872449822,3.3053271348310416,3.3961829269662727,1.0594179629931464,-1.137594760613653,-0.4896705038907362,0.2377478208621689,0.6693809871619876,-0.16317178899198861,0.13486475925532065,0.2352377407884875,-0.014830712423906933
861,3.8259552276235107,3.9533439311594796,3.258999480095508,3.368989577613354,1.0719097725297546,-1.1327523452049175,-0.517964499800103,0.22483527109551524,0.6469668487349134,-0.18373146848148456,0.142439437762758,0.30683150186897007,-0.03343126599220415
