,a(full violation),a(no violation),a(purpose violation),a(text violation),v,t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
11,3.3872979922591697,3.372371484694088,2.966374216354536,3.116139138051509,-0.06951615471476495,1.0822667276325366,0.9908447738467032,0.920176934448496,1.0343511741258884,1.086500939874735,-0.9243138383749326,-0.23029536291016484,0.4377654924970001
12,3.2367630834045036,3.445453528375756,2.9465366701893805,3.11403694120268,-0.10371782139359223,1.0858423113294635,0.998527465501033,0.9165600630636601,1.0607886700312301,1.0684019814773853,-0.9901532151740953,-0.1784717856225588,0.4431226471929466
13,3.276342815708552,3.366122851869351,2.916798029098144,3.1274593372067194,-0.07807155517310041,1.078649232324397,0.9841717039530232,0.9212369001200964,1.081591174250938,1.0703576060068336,-0.9355150804561646,-0.19079853843329292,0.45600364929846504
14,3.2802306988801915,3.317221456138295,2.9424579910745035,3.109058693846741,-0.07884760903651952,1.0872629398672171,0.9803975392045012,0.9233354376848101,1.0231361771415843,1.0387878607965295,-0.8716459443589382,-0.23716155599365174,0.4476783580683717
15,3.312135822265163,3.2948697142436965,2.916032914277033,3.0560672976567282,-0.07538465322562085,1.0949609747909586,1.007139966556288,0.9132816692105857,1.0587722423508048,1.0551662442931615,-0.944574655083166,-0.2433517026341347,0.44766106743269085
16,3.311943634830242,3.329424749968962,2.94838607736134,3.0795119095132493,-0.08172775612610508,1.0840757940394867,1.0006942694922991,0.9216576455358723,1.0694606416678125,1.0507652665553369,-0.9385787484028301,-0.26070404312765194,0.41356385097022913
17,3.396079535919474,3.2056801644909827,2.9022539991416494,3.0554096996681146,-0.07400945038240962,1.0973736118678834,0.9931206472590096,0.9632864824048979,1.0428792615515239,1.139733498695642,-0.8568902363199163,-0.19865562391647879,0.39929724841614317
18,3.32641653833341,3.2523108892029136,2.9411659568699413,3.134949632546832,-0.07635626793609808,1.0828187901164485,0.9991128871895528,0.9083096865481658,0.990802773499283,1.0864410553623731,-0.8923414041926488,-0.18945691948755972,0.3830610312956828
19,3.275855579795946,3.4006473589127126,2.926450270624578,3.099070324549897,-0.07171425840540206,1.0862890691448672,0.9991340956848273,0.9389643914467064,1.0918654299667963,1.0820889083830578,-0.9646799053203381,-0.23334009063115413,0.42865143936572264
20,3.3070265286027545,3.3584297975971507,2.8610829494182117,3.0611587055096994,-0.08294782987787883,1.0867773086496504,0.9992708586955172,0.9494529355840519,1.0625375065956768,1.054809043476914,-0.9402023738607252,-0.26231266201041264,0.42193150708195015
21,3.305536890828014,3.408359128126741,2.9614489274325915,3.0856101957535653,-0.07533165537042821,1.0929777908590157,1.0107347176170474,0.933558260727473,1.0177827154402723,1.0766118775374216,-0.9626935761827297,-0.22482049008545513,0.4104180237616304
22,3.327316186932244,3.3058167044057876,2.953688918212122,3.090769864314065,-0.08058043358988377,1.0908872239607443,0.9815520614741161,0.9003390057022579,0.9955385756357058,1.0771556987491426,-0.8947419142102695,-0.22022849976376824,0.394766895323027
23,3.2920222551154965,3.3663933583262873,2.918250095912438,3.030569551547218,-0.09631596262727886,1.101343317200535,0.9996991389304953,0.9176177099131323,1.1175387280413858,1.1065605871608628,-0.9216708489000094,-0.21050266586834726,0.4313123870452259
24,3.3562664411814307,3.4959043885641856,2.9394176771305918,3.1407232475799254,-0.0651923247939563,1.080019177195254,0.9948728963415083,0.916463546894462,1.0149367526867634,1.0737301451834003,-1.0154359818438607,-0.24108804326192299,0.38135246160549446
25,3.259735217891484,3.4983265867127975,2.9550278577083327,3.169047281534073,-0.07966106444751797,1.0962372939965819,0.9985389810062789,0.9124705315229052,1.0325369592368732,1.0624309950365551,-0.9715390198014774,-0.24925950392001228,0.41851736176421517
26,3.2908977198331915,3.272168560638545,2.9209819057630177,3.150418980805061,-0.07584705497165398,1.09052253291488,0.9965102798757914,0.9310666285725042,1.0176831211758322,1.0585147579161551,-0.9261860182074055,-0.23878050288010183,0.43129988510439654
27,3.397631793715097,3.4056862788234303,2.9260596546314876,3.0916788710711627,-0.08008136276252623,1.0866311466850103,0.9832863126424848,0.9201426799379108,1.0754817443260958,1.0921507068317513,-0.9536695580283923,-0.23189487518097848,0.42543715747540856
28,3.326875486029758,3.3544575315041305,2.9489302757883444,3.1324872206131062,-0.0772801185065232,1.0899452348439314,0.9912639085525861,0.9032252890204691,1.023442136825615,1.088100802472152,-0.9422242475351624,-0.19590957055960234,0.4670385667629786
29,3.318575103589359,3.34888290292538,2.874477478545618,3.100790336549559,-0.08451753396722667,1.0891804389057587,0.9830503196960744,0.9201170319380918,1.0591749624764875,1.1214892114995323,-0.8921075443405653,-0.21073693526602646,0.44817480222622685
30,3.346571170124946,3.3184214244530192,2.983708806161641,3.0530582425298314,-0.07566588071097208,1.082340716530966,1.0065029590546875,0.9145477238550678,1.0399088453826728,1.0850111326694512,-0.9204563386466524,-0.2297996070927013,0.391812427133099
31,3.3747387074924005,3.353276943774276,2.9187280980495163,3.1442141701074475,-0.06432443822029718,1.0857307114243417,1.004300717305658,0.9299425908798655,1.0506376850056716,1.0675466161213452,-0.9839411673124681,-0.20788848555913536,0.4450061085340758
32,3.3115910667205504,3.345339533214085,2.9440893046348227,3.0511780303244764,-0.0909430726272377,1.0889219297846553,1.0036413968830162,0.917911699098445,1.1102506291086907,1.101795740079116,-0.9188889165433958,-0.1940131210243146,0.44450083117416794
33,3.3232391662679905,3.273870358008047,2.9337147165307136,3.0143202114091823,-0.08407973325881582,1.0910942164594553,1.006433720211943,0.9101653403703625,1.0977466238695197,1.0988729729048305,-0.8938000526116094,-0.21715440511371925,0.4141782831965925
