Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687903cb4b9f226d8a1aa4f6,647e0f22b1d466181ae694c4,RETURNED,Not Applicable,2025-07-17T14:08:21.363000Z,2025-07-17T14:17:46.880000Z,,2025-07-17T14:17:47.815000Z,,C2UOTZEI,4476,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903d4de807802a002de3a,66a2cad3faf4070bd7784a88,RETURNED,Not Applicable,2025-07-17T14:08:49.710000Z,2025-07-17T14:18:30.044000Z,,2025-07-17T14:18:30.919000Z,,C2UOTZEI,1729,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903e41ec48ec3d6bb5f3d,5fbc2c78c568aa0c84232ce2,RETURNED,Not Applicable,2025-07-17T14:09:03.326000Z,,,,,,5800,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903e928878f2289a78565,5dfa3b5ff3b9e0000a3e83b5,RETURNED,Not Applicable,2025-07-17T14:08:47.643000Z,,,,,,362,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687903eec8bb83a0f77ed23d,5d845d15fbc5970001e821e0,RETURNED,Not Applicable,2025-07-17T14:11:47.259000Z,,,,,,1916,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687904083dc1c3cc25871207,6471243669fd3f43501ed674,RETURNED,Not Applicable,2025-07-17T14:09:19.672000Z,,,,,,1859,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68790431f0de82154991aa91,680cf3759bbfca13d68e130a,RETURNED,Not Applicable,2025-07-17T14:09:57.360000Z,,,,,,1218,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879043b571ade8002c2f156,62349dcdec7c3f8e7e1bc90b,RETURNED,Not Applicable,2025-07-17T14:10:12.734000Z,,,,,,2014,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687904607e4ff9c2c0bbf6c3,603421c858a3bd213d7c24b2,RETURNED,Not Applicable,2025-07-17T14:10:47.186000Z,,,,,,3484,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687904774ddc9ad1ae2b07ca,613ad21e63b6c74708c223a9,RETURNED,Not Applicable,2025-07-17T14:11:08.498000Z,,,,,,1896,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
