,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans
82,7.473330243515637,5.326098420760288,3.0658513477817406,3.1721289369310077,1.4356517302710823,-1.3249292341458838,-0.46339310467843753,0.15939465623783042,0.1401334902677739,0.3058575175045249,0.8348771058324261,0.9690955880751049,0.1901114934031045
83,7.475782699473419,5.3367198816253865,3.071492969555279,3.1813702321513437,1.4214731116017705,-1.3338243438401274,-0.4331620458224621,0.16591687616037845,0.09234109611161251,0.29345847284288124,0.8336385740339365,0.9412692081523493,0.14799044265024386
84,7.281592202723244,5.261675570103965,3.1053658242077278,3.214431490569178,1.4348667559585166,-1.3398745568598778,-0.42884875598795735,0.1664039191728855,0.15706799951701383,0.33516650537948295,0.8509063800380529,0.9408428244345004,0.15665824490890518
85,7.297489046239674,5.385309284908507,3.0717460806665193,3.1066044967614523,1.4361652408224115,-1.3303623448520308,-0.41387872315765767,0.15823091795586428,0.11922366958384849,0.30894711122639984,0.8458352811732803,0.9615040134628681,0.13801625587403868
86,7.054353435076652,5.264372935042815,3.0675060767380202,3.142228005397891,1.3870062679741932,-1.3515561349532745,-0.4370254025102678,0.18354626688610662,0.15130915192897237,0.382533454711692,0.8417802819497241,0.9572832968286303,0.15198041686854274
87,6.819131186049053,5.283691190302069,3.1016616260911167,3.124266558289931,1.3388202207265307,-1.3280684202177864,-0.4485595786596281,0.1673965649088136,0.20705331954421258,0.3335415385199142,0.8053897501449333,1.0019525026375262,0.18244491109416694
88,6.740283185643425,5.151405553411583,3.074517605284861,3.1660830598223564,1.3344739039789202,-1.3146581883073507,-0.47444476978849426,0.15200568071004494,0.2573255324359875,0.3390199290523089,0.8140333866160213,0.9515454137989603,0.19897133774922315
89,6.772020316453342,5.198587576731073,3.0483768944825163,3.0860637220328826,1.3703862264025315,-1.3205529778671397,-0.46023566792793846,0.18343767817296325,0.2487154675724365,0.3350540693776445,0.856521400517484,0.9441039173542647,0.16759400550734818
90,6.778145091999622,5.195940938104953,3.065864777209202,3.1409102549879275,1.3551450128738367,-1.3244700680801569,-0.48443821319231706,0.16530914294790122,0.26014021554359856,0.32935973005296604,0.8546554150205177,0.9534542507350859,0.19388780695956798
91,6.47374578998813,5.242648920882303,3.087914633074431,3.1472595869331803,1.3309676515597806,-1.312135099613149,-0.5003487671324626,0.15815792198290723,0.3029998220108187,0.3237622323456489,0.828201470085711,0.9726464770141842,0.20211219145479903
92,6.384652601112186,5.012822015809453,3.0331408745429713,3.1275763108991397,1.3281694481974746,-1.297067274675834,-0.43582890531178636,0.1699277469579453,0.30414956039763663,0.3783693305128693,0.8655333233693938,0.9636119338071311,0.18041834580976895
93,6.578594748006675,4.9429299740995924,3.043567992248554,3.0939920510076195,1.3275259054602642,-1.275433345162879,-0.45833705351738324,0.15499288393851546,0.29272742277764463,0.3706404355921561,0.8598760300431237,0.9904054524656837,0.19430568530929176
94,6.3891264977748685,5.163965320681821,3.078289822855477,3.1090984328314852,1.3241388284203863,-1.278908664745497,-0.4388374720967162,0.1693501374898227,0.28913832422764635,0.3281937868044672,0.8686466916560068,0.9566922826361752,0.14232227895512278
95,6.235581439952446,5.239692127084779,3.039221546846678,3.1404692470975837,1.2950349069000995,-1.3039007969576706,-0.4131204902850404,0.1910406255414893,0.30191704452895796,0.3382908498575614,0.8567609076015856,0.9360749446342962,0.15387931142481256
96,6.190021132435484,5.187017129848608,3.0197407346225464,3.106726093554564,1.303909359586764,-1.317533784328259,-0.4583323513217098,0.16828746281399806,0.32286951899641925,0.36272609319506777,0.8637846608523921,0.9810197934060902,0.15863540876473606
97,6.360200887799771,5.234647698618155,3.0688554629407196,3.1858156268179183,1.3200196430755167,-1.333188431041391,-0.43992331382386984,0.18872818504891248,0.307824484783963,0.34365216912767266,0.8457788129247235,0.9505472962116578,0.15898317266549541
