,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
36,4.490918349074644,4.51764592476808,3.0701452505884363,3.1962310096637623,1.2229463456983178,-1.2767249627146486,-0.4668046038668454,0.21423416801110667,0.43007582429733426,0.3761323174105013,0.8577216256404695,0.9295749967403748,-0.339556341622626,0.43971217611991387,0.22083935754733025,0.03990138114910742
37,4.5167703794705885,4.46052924029531,3.1941493207252254,3.162784073790684,1.2067521422191623,-1.308964423795592,-0.4905238145925234,0.21404683576562045,0.37264292521644105,0.38842781362000073,0.7646084976351893,0.9270347174280161,-0.3303435650290757,0.4583147050313694,0.2563106596718946,0.09389442982371457
38,4.486984366532705,4.441850277022361,3.0964760077713755,3.1607530068208707,1.2144153227691148,-1.323628494586596,-0.45507552634435433,0.23410202155397014,0.34351191608062487,0.37566909657919617,0.8317483315918455,0.9031706984802178,-0.445959135914329,0.5185948967704033,0.23118052543182352,0.048178264142527585
39,4.503631545091328,4.38790566949052,3.0846254349183027,3.1081783767047075,1.2754682566880258,-1.2841263759205406,-0.47311134642820957,0.19556522260309198,0.3589228610129242,0.3697187357661743,0.8130962961485099,0.9593996434453023,-0.4669579056862591,0.4976062297040465,0.24996755910615384,0.068172585405139
40,4.670474988798483,4.464320046696381,3.144604010684717,3.0818652332808143,1.2878129102640048,-1.2889874933792567,-0.46425882004662433,0.17917490570562794,0.33419008086727675,0.3221039858556666,0.76478944825073,0.9789038860534958,-0.4297547664945815,0.5509689745734352,0.2282618201784558,0.09473560915393653
41,4.636833314057815,4.555723531596689,3.071246501224556,3.121117669729763,1.231493908300572,-1.3037338529839841,-0.4729448201557102,0.19449975817002396,0.3377061592397887,0.31391502288828393,0.8300148412287961,0.9721375306257325,-0.3800461020142523,0.5264848352229621,0.2345410509684006,0.08312415927319819
42,4.543835208600824,4.480276990485834,3.083876061004409,3.122016245786812,1.2593562171697315,-1.25968677470172,-0.46079362229503673,0.20209926436777775,0.3351520092142462,0.3245793871135839,0.8446936825429163,0.9835204099127004,-0.4694807439780129,0.5107245736418307,0.21546359854947641,0.11421724717197015
43,4.585490948876664,4.377187143239075,3.0384433450945263,3.139304988442786,1.2658512636656811,-1.2668821000034034,-0.455049049275462,0.23513833894207845,0.3255979823576223,0.3538176901397207,0.8509485742439703,0.9345758118231355,-0.4512573669638192,0.5387602354974012,0.14339225076459766,0.03701223746451225
44,4.5433561430230105,4.514447267943681,3.0639294672214556,3.1802219172995545,1.2291174345920695,-1.2560720358798794,-0.4514518051902896,0.19083938657647065,0.36421584521062833,0.3956139975814893,0.84259298481194,0.9656972560361248,-0.37711286986276094,0.4168534277231625,0.24087189017042304,0.11245674586122312
45,4.480343212039173,4.519488244862501,3.1299976990005804,3.1205938116553833,1.217926329496141,-1.2965008665834663,-0.47466777125583537,0.1968463877980034,0.3912217178445624,0.3412696619014357,0.7958448361846672,0.9489530418296711,-0.369659994135335,0.5108846495420989,0.287146018915111,0.12264667987311986
