"subj_code","age","gender","handedness","comments"
"PtTOUtrDETU2","57","female","righthanded",""
"wSeuRoknC8ch","57","female","righthanded",""
"q6VE9FnT5B6N","52","male","righthanded",""
"L5ggKwLYjb68","60","female","righthanded","No"
"wQRu7JATRJNx","52","male","righthanded",""
"XSEZzEWYGJLk","52","male","righthanded","no"
"O9iyhPSC9UNG","54","male","righthanded",""
"Fwfs9BV0abtE","52","male","righthanded",""
"MnIS8Nv86rDH","54","male","righthanded","I really enjoyed the survey"
"vFxayV5FCsej","53","male","righthanded",""
"mdeNJ7xMfrtV","57","female","lefthanded","interesting to complete"
"N8o9oodQVQ7A","63","female","righthanded",""
"JKMipX17K1CX","64","female","righthanded",""
"V2iKbZ6ab2i3","53","male","righthanded",""
"whxHkWRSKuWz","73","male","righthanded","no"
"3cYeSy6nNKsy","77","female","righthanded",""
"8CAxvXCwUa0U","64","male","righthanded",""
"hhL5fV0jIerQ","66","female","righthanded",""
"zXOGiLFfyJhz","67","male","righthanded",""
"CfI5LUIFPlL9","70","male","righthanded",""
"XtSiq5WNszaF","76","male","righthanded",""
"xOa6wldDsMpL","65","male","righthanded",""
"lSeJlQU3GsUD","72","male","righthanded",""
"RwiohLnng3gZ","54","male","righthanded","This was very fun Thanks for letting me participate"
"fsGKMy40y93K","69","male","righthanded","none"
"jhGoNc3Dxghs","64","female","righthanded","That was fun"
"ns4mggEJcMAP","67","male","lefthanded",""
"IUWLcNq4PnUr","64","male","lefthanded",""
"kVGEZeFUoyt0","53","male","righthanded","no comment"
"kVfYHgFjHAdv","63","male","righthanded","NO"
"rJU1MrXxVNYd","65","male","lefthanded",""
"7sXTPcPWjufy","67","female","righthanded","Survey was a bit lengthy"
"Iwc7R0DoFiRY","33","male","righthanded","I answered the questions literally In reality if a man after a glass of wine drove someone to a hospital in an emergency I have no personal issue with it However I selected against the rules as that is technically true"
"fAVwm602ATlG","75","male","righthanded","no"
"Gu68QshNIzdr","66","male","righthanded",""
"38ONICwnh7l6","64","male","lefthanded","Very Good"
"DN0VVtDWo5ah","64","male","righthanded","it was hard using the RGBY letters in the color test better if spread out more"
"mJ1uQ3n1X6Y2","78","female","righthanded",""
"lcFYZ5nyIouL","68","male","righthanded",""
"o09Qj5q3xjep","65","female","righthanded","Interesting to do"
"LU5nXtNTMzuq","57","male","lefthanded",""
"wYBTP91YDGzz","68","female","righthanded","interesting "
"g6QCfVuwdw9I","77","female","righthanded",""
"a4RKR9VvEmXm","64","female","righthanded",""
"FE3j4wjeKx4O","64","female","righthanded","The practice questions moved too quickly for me I didnt know that hitting any key would start things but I totally got the hang of things on the real tests"
"NPJheUUMXvzs","66","female","righthanded",""
"LXiIOpiMAP7t","64","female","righthanded",""
"H2RmQueYzr0z","64","female","righthanded","no"
"eDGfd0Tce4aK","66","female","righthanded",""
"tLbVjmvkydgx","76","female","righthanded","May I take it over"
"PXznOFOu2RqU","65","female","lefthanded",""
"7ZeGsOE1Hty7","62","male","righthanded","It was enjoyable and interesting"
"CziTUrZ6cytl","38","female","righthanded",""
"N4AqZkEf0lT5","65","female","righthanded",""
"Gn7u9w5RW3vb","64","female","righthanded",""
"nBbBRK38AL1I","67","male","lefthanded",""
"CKDDuPrt5Xtc","73","female","righthanded",""
"C62uyBMuHrQo","31","male","righthanded","the timer was a bit fast though it was awesome  i like the study"
"WzVA2Wc7wGGn","66","male","righthanded","NA"
"gs29gn7YHCew","65","male","righthanded",""
"f47KaAafvjHZ","19","male","righthanded",""
"OXBwarPaSymg","65","male","righthanded",""
"HNkSJFhMpUya","66","male","righthanded",""
"5vGB7dZY7ce5","64","male","righthanded",""
"5Zps5FCzl3sL","82","female","righthanded",""
"svthPfwfsHof","64","male","righthanded","no"
"RNdYz9kUQ2pD","25","male","righthanded","none"
"l9rISdQry87Y","77","female","righthanded",""
"9mAkYOvxXM4A","66","female","righthanded",""
"SqjOkcGTLT8S","66","female","righthanded",""
"dMIIaYK8fYRA","22","male","righthanded",""
"Y7pZlmLimawW","33","female","righthanded","It was very interesting The colours task was a little too confusing to react quickly to as there were too many letter keys to think about "
"RC2p7cHi0sPM","31","female","lefthanded",""
"eI61TIDThu1I","31","female","lefthanded","Interesting moral dilemmas"
"7LRvR70mD9R0","29","female","lefthanded",""
"Mgt6phKwTSCZ","29","male","righthanded",""
