,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.gk8Vo58Syky3,4.638791329893685,0.9943442495571206,2.997178579319357,3.8716353562678765,4.5435683974676255,5.391876551990038,6.540859854878208,0.08597450831575963
a_subj.hbqSJJgFRp6J,3.5640666888281096,0.7693112872172206,2.413467209975848,3.005558942026961,3.414382774151814,4.043085766300873,5.38702418844368,0.0616137655173062
a_subj.iQS78gQlITXB,1.9897027567724521,0.20368176961523696,1.6683441657027587,1.8489496603938889,1.9683658409691014,2.1066952869243294,2.4507385662953802,0.007455871767444523
a_subj.j1fpeDp6n8UR,4.122299797260642,0.902940446841118,2.6742691882689673,3.4632945639729362,4.019877691546487,4.699029942650783,6.1520311331291335,0.07657245007694928
a_subj.jkMWKBfbNm89,4.41375418681336,0.9079666647085152,2.9561275631323065,3.711002697936138,4.315217669062032,5.015888342761224,6.461942974313151,0.07748613089725814
a_subj.lYX7ZRvDXlCB,5.052580872848859,0.8341495526860809,3.471975320563874,4.478383754725685,5.057402938557452,5.621102030210691,6.685864580725542,0.06576770095228807
a_subj.oVBDbrLOM3N4,4.854975501029196,1.7322136709793063,1.9127276529525274,3.492013768872849,5.1715996018409935,6.088822652056815,7.777379344309176,0.16277594710577442
a_subj.pmFs7MfKf2zJ,5.319396569838554,0.7968751981459783,3.777691076180343,4.774018416762795,5.330475525200678,5.849775066099415,6.930687409590005,0.056038806791086346
a_subj.pw7CJaa5hzve,2.038810265900048,0.16723883854250488,1.7467440206142373,1.9240241253506296,2.0268591802509692,2.1417618793719155,2.4054325186169687,0.005921476906773612
a_subj.qZqT39zakszM,2.049295625551415,0.1383744726043011,1.799503269693248,1.9537499047781162,2.0430042713012093,2.1366670487401596,2.342934823233008,0.003806059534515674
a_subj.sIvKDF2pkNly,1.8623852986835128,0.31141687655360634,1.5308742104493467,1.6988369489360209,1.8134016991625965,1.9375296713509078,2.4923193049832797,0.02332537632284744
a_subj.sgw1PPX1s04D,2.3273390164709373,0.19802082888544467,1.9786031269257278,2.1910704393560367,2.3111882278229334,2.4505234325448706,2.7495411444237927,0.006498192384699832
a_subj.tatdpUSNjhmJ,3.0084796245769745,0.4828836994897622,2.194879091871801,2.662193952425358,2.9662517495400587,3.320694687101872,4.037930239607754,0.03525514066395078
a_subj.uxHhEDdcx96G,1.8232745534733845,0.20511746958671268,1.5172090517523107,1.6799984701652106,1.791286732625461,1.9231873272155482,2.3283718664394746,0.010431527544141075
a_subj.vaw4Oar5AzRL,2.7701449106447957,0.819715177429626,1.9519421171975821,2.2642733382489912,2.492195557199987,2.936479645263651,5.213576354131169,0.07114221415122651
a_subj.ve2ZsUxKhbqf,4.611337827591638,0.7737035699373248,2.9650574944665657,4.152332064867929,4.633913262446324,5.134363013433999,6.062491165129406,0.06187405957929001
a_subj.vjarSw5JzNXk,2.8522804770202628,1.229046197957652,2.0212868375132342,2.22572519290995,2.3803693761833573,2.6292142654184643,6.463544912101831,0.11821200058120382
a_subj.wVICZPSLJ8KW,5.850166264242104,0.7515380011910261,4.434851320849419,5.305166095543005,5.862993063063441,6.384982428682767,7.251722842504957,0.04302893905292292
a_subj.xV0pSB7wY6E2,2.992888141164603,0.9016841341080855,2.0045953929101055,2.3347470634479626,2.6671241198397997,3.3860907496688712,5.274874983576268,0.0771077262772332
t,0.3174079840418067,0.026235469516312775,0.26804182012213174,0.29942423993036843,0.3169668970728392,0.3347792682732197,0.3716078551341398,0.00129359131769628
t_std,0.2014565176278451,0.024943172722614003,0.15963508547316255,0.1841250485077962,0.1993298871093308,0.2167140036454343,0.2569545808692226,0.0010804803288860106
t_subj.00wnwvwLHBIk,0.5187370763317569,0.021654490142949873,0.47112020930380405,0.5055893219442728,0.5215273072851766,0.5343497718895889,0.553668533861886,0.0006268733285353402
t_subj.0ALnIzl1ydE6,0.3847900973449263,0.026546246680506647,0.3239654112096508,0.3722948491520514,0.3888496181509191,0.4020568163291362,0.4226978197842977,0.0013206907014349273
t_subj.0GabPL5vHH8P,0.2686448013293246,0.048344135271956176,0.13282317877437283,0.2519899232651117,0.2742170382741725,0.29203023096215275,0.3554791000186237,0.0034380171718920065
t_subj.0VVhHyPBOh8x,0.1782689103779193,0.059366153767537115,0.06050656807214123,0.13511356265681196,0.17935478394322218,0.2215631997873004,0.2886057150774514,0.004813753440720632
t_subj.1YT4qLD19kvV,0.26788025537806986,0.12127584852488112,0.05899231537372344,0.15803432389752925,0.2736666355965857,0.38850749953513203,0.41351208181602256,0.011477140553674959
t_subj.38HjYDEebF7Q,0.18456840022119597,0.06182509155030221,0.060970455893662234,0.14281145169596215,0.18493924370164913,0.2302338323153832,0.29657109027703543,0.0047869788766340795
t_subj.3m9MitiUNkLe,0.8646023008969954,0.03378002174019571,0.797529954384832,0.8432296217154511,0.8636903019691002,0.8843616844773673,0.9333992005060607,0.0011299196276700761
t_subj.568OcVLCD0h4,0.2757881251435608,0.08156900184463706,0.10636684583504921,0.22219765711308456,0.2808321183213764,0.33499990970550186,0.41489690729562506,0.0068803756663576255
t_subj.5E741EFf1D68,0.5907633861681981,0.20752697307283924,0.15408144724019868,0.44308586088576013,0.6067754873218492,0.7645027196472164,0.906595555352508,0.01526753341170361
t_subj.6xP2E90cGY7d,0.10714930392548469,0.04599501204471381,0.02312338737767792,0.07330851090290658,0.10614988615024433,0.1394293720193575,0.20065129270253312,0.00280918184435647
t_subj.8DgoXYZI05ZJ,0.15962745360112524,0.052999232552551616,0.060171465456553164,0.11935292539713176,0.16237840029882364,0.19877857091727755,0.25736630094548885,0.003967837146530937
t_subj.8LhlcQz7sD9E,0.2099115428745806,0.07804412656912443,0.07490550963738975,0.15183507763280493,0.2078818458514654,0.263266192894948,0.36793302354447155,0.006400871233108059
t_subj.8Ym9I2KtvcUQ,0.49485651910948536,0.04031706181164822,0.40419672041928284,0.4705263965761806,0.4996644309106509,0.5242933222646757,0.5597731070677935,0.003236736948667459
t_subj.8jdRn0wiVZIJ,0.5959461929700025,0.018447766008598935,0.5531216155072834,0.5847371277750673,0.5979364127942348,0.6087626250655974,0.6262172661839566,0.0005436808511035985
t_subj.8q2Uy2Q70plH,0.34654058497636,0.10904106516385834,0.07220529800769929,0.3194674425620736,0.38502831574336294,0.4202285112280047,0.464528986541397,0.009324577138702751
t_subj.ALbe7y6EHaM1,0.41261329525114054,0.10781902284788086,0.16431039269020467,0.32788287037728137,0.4687124661315124,0.4885805621590141,0.5184765964427511,0.010361047714756884
t_subj.Bu35lM8ZMH2V,0.433474162394766,0.028067042384569363,0.3668535946240702,0.4169617090916021,0.4360377027315099,0.4533280149384282,0.4813185891161239,0.0008211517952456957
t_subj.Bz45IxAK5fjO,0.39869310785055023,0.05540862238602624,0.28786294281858726,0.35176434515354577,0.4168634966908138,0.44332156356976127,0.4645914116443811,0.0029818369785481976
t_subj.CW4cYd1QYeU1,0.2209828311503092,0.07589852788179798,0.07777226123914228,0.1666731059453461,0.21961478773613033,0.27400381809504715,0.37047105561516414,0.0054983463236975404
